url,title,corpname,location,content
https://kr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQo_FcFImbqTEPchmNt_MdR67dKQuDcK6BUyj8wMx_OEhTF0GS5aAO-1cULnqA2IwzGbmmopyXETpdSmPRieFGR-pBPKrou6hNEGkPK47U6wmQu6jM1UEuMGUAlwMhg3kuET_M1HO_xFGWnuIWvIsIYzRpHHZ1gvCFC4AYRcas4qw2qrPur7e3LR3ojJO4JZuKbYa9gzBxq3-jcYJs_ouFn3oLCKOWLjVQbYiHc5USSW7xPbCVhFDAlAQSsoe1VtE8q6K3e0Nr6o9VpVKUdR-kgWY2RDWhgxqxsxU1DMl9IB7hXyTQ5qGNbqIIyJSYhpbvjAn2qwfKGM5qIZ7Sm_2FR78CEFKKOrmDsBXPDNWLA2nadAdTyOn81lO7dCCLgICfnbbyTqSJv6snHFcZJVX7JTkcJE39UWNIXgbvSztDJovQjcifciiT&p=0&fvj=1&vjs=3,Android Developer,Bepro Company,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/rc/clk?jk=dd4d8e59a4a9265d&fccid=553095a190e81a86&vjs=3,Data Specialist (Scientist&&Engineer),아우름플래닛,서울 마포구,"Tensorflow, Keras, Pytorch, Theano 등)를 하나 이상 사용할 수 있는 분 • R, Python, Scala, SQL 등을 이용한 데이터 분석 및 프로그램 개발 능력이 있는 분 • 데이터 분석 기법..."
https://kr.indeed.com/rc/clk?jk=2cfd15907402c5cc&fccid=a0e87e3780944019&vjs=3,DGIST 제2차 계약직 연구원 채용공고,대구경북과학기술원,대구 현풍면,천원 이내 수행 내용 Machine learning (Deep learning) 알고리즘 개발 Python/Tensorflow 프로그래밍 Matlab/simulink 모의실험 자율주행 자동차 혹은 전문 서비...
https://kr.indeed.com/rc/clk?jk=6f88041c28b6c1ae&fccid=b6cebf2e7d619f07&vjs=3,한글 Q&A 시스템 연구 개발 신입/경력사원,포티투마루,서울 관악구,"중(9월예정) [지원자격] - 4년제 대학교 졸업 (전산관련학과 이수 또는 그에 상응하는 교육이수자) - Python, Java, C/C++ 등으로 개발 가능하신 분 - Unix/Linux 시스템에 대한 이해가 있으신 분..."
https://kr.indeed.com/rc/clk?jk=7ff6422846b67a72&fccid=4fc5c42f36f59402&vjs=3,응용프로그램개발 및 서버 구축 개발자,굿모니터링,서울 서대문구,"성별 무관 기타 담당업무 모집분야 - 웹(앱), 응용프로그래밍 개발 및 서버 구축 (php, jsp, python, asp, mysql, mssql) 담당업무 - 웹 프로그램 개발, 유지보수 / 프로젝트 관리 - 응용..."
https://kr.indeed.com/rc/clk?jk=4233609a843b5e96&fccid=aba87288e4cc3687&vjs=3,분석지원팀 - 데이터 분석가,Nexon,성남 분당구,및 커뮤니케이션 능력 - (필수) 새로운 기술 습득에 능동적이고 거부감이 없는 분 - (선택) R 혹은 Python을 이용한 데이터분석 능력 - (선택) SQL 기본 활용 능력 - (선택) 통계 및 분석에 대한 이론...
https://kr.indeed.com/rc/clk?jk=d1e75364ef505c68&fccid=32b9af632cf3b9f9&vjs=3,"데이터 가치 함께 발굴하실 머신러닝, 통계 모델링 전문가",카카오 4.2,성남 판교역,해당 기술에 자신감이 있으신 분도 환영합니다. 지원자격 머신 러닝/통계 등 모델링에 활용하는 언어( Python/Scala/R 등) 및 도구(Tensor flow/Pytorch 등)를 하나 이상 능숙하게 다룰 수 있으신...
https://kr.indeed.com/rc/clk?jk=deb23c0881100256&fccid=e90e80bc9ed9a53f&vjs=3,FDS 서버 개발,LINE Plus corporation,성남 판교역,"visualize [자격요건] - 실시간 데이터 처리, pipeline 개발 경험 - java, python 중 하나 이상 언어에 익숙한 자 - Kafka Producer, Consumer 개발 경험 - 시스템 장애..."
https://kr.indeed.com/rc/clk?jk=71e0b966bf1531df&fccid=a72ebaf825acf7af&vjs=3,검색개발,NHN 4.4,성남 판교역,리눅스 환경 개발 경력 2년 이상 - 딥러닝 모델 분석 유경험자 - Python 개발 유경험자 - 딥러닝 모델 개발 유경험자 - Python 실무 유경험자 공통지원자격 - 병역필 혹은 면제로 해외여행에 결격 사유가...
https://kr.indeed.com/rc/clk?jk=b2ebc1da56d8b120&fccid=88d16085121594c6&vjs=3,GNI 소프트웨어 개발자,KAN,울산 북구,"2,3년제 졸업자는 2년이상 경력자 C#, python 등 가능자 인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어"
https://kr.indeed.com/rc/clk?jk=219838df8fbffb31&fccid=a0e87e3780944019&vjs=3,DGIST 미래자동차융합연구센터 계약직 연구원 공개 초빙 공고,대구경북과학기술원,대구 현풍면,"레이다 센서 퓨전 인지 알고리즘 기술개발 우대 사항 우대사항 - S/W개발능력, C,C++, Python,Matlab 등 능숙자 - 자율주행 및 ADAS관련 프로젝트 참여경력자 - 딥러닝 연구 능숙자 - 국내외..."
https://kr.indeed.com/rc/clk?jk=54ce47c4db974112&fccid=a0e87e3780944019&vjs=3,DGIST HumanLAB(인간중심지능형시스템연구실) 연수연구원 채용 공...,대구경북과학기술원,대구 현풍면,경험자 Matlab 또는 Python 활용 능력 우수자 국가연구... 프트웨어 설계 및 구현 가능자 Matlab/Simulink 또는 Python 활용 능력 우수자 국가연구 개발(R&D)사업 참여 경험자 영어...
https://kr.indeed.com/rc/clk?jk=fd0ae44d58d1b95d&fccid=18e51f58ccdbc726&vjs=3,게임분석 담당자 (신입/경력),더블유게임즈,서울 강남구,"시간의 법정 근무 시간을 준수하며, 야근을 금지하여 임직원들의 ‘워라벨’ 문화를 선도해 나가고 있습니다. 인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷·IT·통신·모바일·게임>웹프로그래머> Python"
https://kr.indeed.com/rc/clk?jk=d9086035792f01d0&fccid=2b83fcc0b48065e8&vjs=3,AI 기반 로봇 서비스 개발 그룹 IT 인프라 구축,그룹 IT 인프라 구축,서울특별시,"주요 언어 및 프레임워크 : C, Python, Tensorflow... 리즘 구현 및 적용 - Deep Learning 프로젝트 수행 경험 - Python 중급 이상 기타 - Robot 제어 관련 지식 및 프로젝트 경험자 우대"
https://kr.indeed.com/rc/clk?jk=b085b3c302873fcc&fccid=d40ebe11fc879426&vjs=3,Staff RF Production Test Engineer,Qualcomm 4.1,서울,"so on) Skills in scripting language programming... C++, Python and Perl. Fluent in English Hands-on experience on lab..."
https://kr.indeed.com/rc/clk?jk=d0ae3cf7638734ac&fccid=8c89847134f99feb&vjs=3,데이터 사이언티스트 / Data Scientist,Bagelcode,서울,규모 데이터 처리 및 분석 [자격 요건] - 직무 관련 경력 2년 이상 (게임 업계 우대) - SQL / Python / R 등 데이터 분석 업무를 수행할 수 있는 하나 이상의 개발 언어 유경험자 - 통계 지식에 대한 이해...
https://kr.indeed.com/rc/clk?cmp=%5B%ED%97%A4%EB%93%9C%ED%97%8C%ED%8C%85%5D-%EA%B5%AD%EB%82%B4%EC%9C%A0%EB%AA%85%EB%8C%80%EA%B8%B0%EC%97%85&ti=%EB%8C%80%EA%B8%B0%EC%97%85+Data+Scienti&jk=20ccc59a88ee7847&fccid=6b77749dbefab4c1&vjs=3,"대기업(연구센터) Data Scientist 채용, 석사이상",금융대기업 연구소,서울,모델 개발 [필수요건] ㆍ컴퓨터공학/통계학/수학/산업공학 관련 전공 ㆍ데이터분석/모델링을 위한 언어(R/ Python 등) 역량 ㆍ관련분야 실무경력 1년이상 [우대사항] ㆍ금융 데이터 분석 경험 ㆍ고급통계 분석 알고리...
https://kr.indeed.com/rc/clk?jk=5054923f264e5eb3&fccid=a0e87e3780944019&vjs=3,DGIST 동반진단의료기술융합연구실 계약직 연구원 공개 초빙 공고,대구경북과학기술원,대구 현풍면,"경험자 Matlab 또는 Python 활용 능력 우수자 C/C++... Java, Visual Basic, Python 등) 공학용 프로그래밍 활용 가능자(Matlab, Python 등) 자동차 관련 실험 연구..."
https://kr.indeed.com/rc/clk?jk=6718bba08ef6e20b&fccid=619b56f96237ac56&vjs=3,모바일 앱 보안 솔루션 개발부문,스틸리언,서울 용산구,"Android/iOS 모바일 앱 보안 제품입니다. - 앱수트는 C, Python 등을 통해 주로 개발합니다. - 앱수트 제품군에는 위변조 방지, 난독... 2) - Objective C, Python, C언어, Swift 개발..."
https://kr.indeed.com/rc/clk?jk=9b7db1d582a31e2c&fccid=930dfc707b754564&vjs=3,딥러닝 소프트웨어 개발자 찾습니다.,엘렉시,서울 서초구,"초구 태봉로 양재R&CD혁신허브 801~802호 인근지하철 직무내용 Python, Tensorflow, C++를 주로 사용하여 Linux 시스템에서... 해가 있으면 좋겠고, - C++/ Python 언어에 익숙하면 더욱 좋겠으며..."
https://kr.indeed.com/rc/clk?jk=2bd4dbc4b81c0bd3&fccid=8805c072e807d7c5&vjs=3,모바일 뱅킹앱 서비스의 설계/기획 경력 [저축은행그룹 모기업],피플렙,서울 구로구,"경력 우대 - 고객/채널/상품 데이터 분석과 니즈 파악 - 데이터 분석(SQL,R,Tableua,SAS, Python) - 전자금융서비스 기획 및 개발 유경험자 0 명 근무조건 급여조건: 연봉 협의 후 결정 전형단계 및 제출서..."
https://kr.indeed.com/rc/clk?jk=48ca423ba9cc3be4&fccid=c267f29f0f85e8b8&vjs=3,Product Test Engineer - GPU,NVIDIA,서울,"VB. Experience in either Shell Prog., Awk/Sed, Perl, Python is preferred. Experience in CAD/SPICE is preferred. Experience..."
https://kr.indeed.com/rc/clk?jk=94f2bbbeb53f3458&fccid=56e12959d04ef145&vjs=3,Database Engineer (Storage Platform),Coupang 3.1,서울,"컴퓨터 공학 또는 관련 분야 학사 학위 소지자 우대 사항: * 프로그래밍 및 스크립트 스킬 (bash, Python, Java, Go 선호) * 다양한 종류의 데이터베이스 경험 ( MySQL, PostgreSQL,SQL..."
https://kr.indeed.com/rc/clk?jk=3e2a310c9dd0f693&fccid=32b9af632cf3b9f9&vjs=3,[멜론] 빅데이터 서비스 개발자,카카오 4.2,성남 판교역,"리즘, OS, 네트워크, SQL의 기초 지식 보유 긍정적이고 원활한 커뮤니케이션 스킬 소유자 우대 사항 Python 지식 보유 기계 학습(또는 딥러닝)에 대한 이해와 경험 데이터 시각화 도구 개발 경험 DevOps 경험..."
https://kr.indeed.com/rc/clk?jk=33ebcf38f48da430&fccid=c330b23a4cd35d89&vjs=3,웹 개발자 (프론트엔드 신입/경력 무관,헤르스,서울 광진구,급딥니다. 중식 및 기타 4대보험 등 사내복지 제공됩니다 인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)
https://kr.indeed.com/rc/clk?jk=c079b7ac33a5079e&fccid=b8c1027d6dda0525&vjs=3,[유통대기업] 데이터 분석 전문가 (팀장/ 차부장급),에이치알니즈,서울 강서구,"년 이상 - 통계분석과 Machine Learning알고리즘에 대한 기본지식 보유 - SQL, SAS,R, Python 중2개 이상의 분석도구에 대한 기본 이해 - 현상에 대한 문제인식과 적극적인 문제해결의지 - 통계적 수치..."
https://kr.indeed.com/rc/clk?jk=801392fe044e4ba7&fccid=d40ebe11fc879426&vjs=3,Platform/BSP SW APPS Engineering - Engin...,Qualcomm 4.1,서울,experience on C and scripting languages is preferred (Shell/ Python) Responsibilities: -Keeps abreast of new specifications...
